Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8,Columna 9,Columna 10,Columna 11,Columna 12,Columna 13,Columna 14,Columna 15,Columna 16,Columna 17,Columna 18,Columna 19,Columna 20,Columna 21,Columna 22,Columna 23,Columna 24,Columna 25,Columna 26,Columna 27,Columna 28,Columna 29,Columna 30,Columna 31,Columna 32,Columna 33,Columna 34,Columna 35,Columna 36,Columna 37,Columna 38,Columna 39,Columna 40,Columna 41,Columna 42,Columna 43,Columna 44,Columna 45,Columna 46,Columna 47,Columna 48,Columna 49,Columna 50,Columna 51,Columna 52,Columna 53,Columna 54,Columna 55,Columna 56,Columna 57,Columna 58,Columna 59,Columna 60,Columna 61,Columna 62,Columna 63,Columna 64,Columna 65,Columna 66,Columna 67,Columna 68,Columna 69,Columna 70,Columna 71,Columna 72,Columna 73,Columna 74,Columna 75,Columna 76,Columna 77,Columna 78,Columna 79,Columna 80,Columna 81,Columna 82,Columna 83,Columna 84,Columna 85,Columna 86,Columna 87,Columna 88,Columna 89,Columna 90,Columna 91,Columna 92,Columna 93,Columna 94,Columna 95,Columna 96,Columna 97,Columna 98
39,282,14,15,18,16,16,19,13,30,13,13,15,16,21,935,14,17,27,18,18,18,18,14,14,14,15,26,18,20,19,14,420,1473,23,23,14,10,16,9,9,16,7,1574,10,10,0,13,9,9,14,1,1,9,14,16,-1,14,17,14,28,14,32,24,24,28,1640,14,14,14,14,14,24,24,18,18,88,25,29,24,26,28,31,15,14,14,27,27,16,16,14,14,28,28,28,21,21,21
38,283,17,13,14,20,20,21,16,28,19,15,21,22,17,937,20,12,33,24,24,24,24,20,20,20,15,24,24,26,25,20,424,1475,14,14,20,12,6,15,10,6,13,1576,14,14,11,0,16,16,16,12,12,15,20,8,-1,20,23,20,34,20,34,30,30,30,1641,20,20,20,20,20,30,30,25,25,92,31,35,30,32,26,29,15,20,20,25,25,17,16,20,20,26,26,26,21,21,21
35,276,14,17,20,14,14,19,16,33,12,12,14,14,24,929,8,17,24,11,11,11,11,8,8,8,11,20,11,14,13,8,414,1467,26,26,8,12,18,4,11,18,7,1568,9,9,11,16,0,0,16,11,11,10,8,19,-1,8,15,8,25,8,26,21,21,22,1634,8,8,8,8,8,21,20,13,13,82,22,26,20,22,22,25,12,8,8,21,21,10,10,8,8,22,22,22,15,15,15
35,276,14,17,20,14,14,19,16,33,12,12,14,14,24,929,8,17,24,11,11,11,11,8,8,8,11,20,11,14,13,8,414,1467,26,26,8,12,18,4,11,18,7,1568,9,9,11,16,0,0,16,11,11,10,8,19,-1,8,15,8,25,8,26,21,21,22,1634,8,8,8,8,8,21,20,13,13,82,22,26,20,22,22,25,12,8,8,21,21,10,10,8,8,22,22,22,15,15,15
41,288,13,13,18,16,16,19,12,31,17,11,19,19,20,942,21,22,32,24,24,24,24,21,21,21,22,33,24,27,26,21,427,1480,25,25,21,4,17,16,6,17,14,1581,14,14,12,15,16,16,0,12,12,16,21,18,-1,21,20,21,33,21,39,29,29,35,1647,21,21,21,21,21,29,29,25,25,95,29,34,29,30,34,38,21,21,21,34,34,23,23,21,21,34,34,34,28,28,28
39,282,15,15,18,16,16,20,13,30,13,13,15,16,21,936,14,17,27,18,18,18,18,14,14,14,15,26,18,20,20,14,420,1473,23,23,14,10,16,9,9,16,7,1574,10,10,1,13,10,10,14,0,0,10,14,16,-1,14,17,14,28,14,32,24,24,28,1640,14,14,14,14,14,24,24,19,19,88,25,29,24,26,28,31,15,14,14,27,27,16,16,14,14,28,28,28,21,21,21
39,282,15,15,18,16,16,20,13,30,13,13,15,16,21,936,14,17,27,18,18,18,18,14,14,14,15,26,18,20,20,14,420,1473,23,23,14,10,16,9,9,16,7,1574,10,10,1,13,10,10,14,0,0,10,14,16,-1,14,17,14,28,14,32,24,24,28,1640,14,14,14,14,14,24,24,19,19,88,25,29,24,26,28,31,15,14,14,27,27,16,16,14,14,28,28,28,21,21,21
39,282,17,17,16,18,18,22,15,29,15,15,17,18,19,936,14,11,29,17,17,17,17,14,14,14,9,24,17,20,19,14,420,1473,24,24,14,12,18,6,11,18,3,1574,11,11,11,15,9,9,16,11,11,0,14,15,-1,14,18,14,30,14,32,26,26,28,1640,14,14,14,14,14,26,26,20,20,88,26,31,26,27,26,29,9,14,14,26,26,10,10,14,14,26,26,26,21,21,21
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
35,284,15,10,11,21,21,17,13,26,21,18,24,25,14,938,19,12,38,23,23,23,23,19,19,19,16,26,23,26,25,19,421,1475,13,13,19,15,5,19,14,5,16,1576,18,18,15,6,19,19,19,15,15,16,19,0,-1,19,24,19,38,19,34,34,34,30,1642,19,19,19,19,19,34,33,28,28,89,34,37,33,35,26,33,16,19,19,26,26,17,17,19,19,26,26,26,21,21,21
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
27,279,13,19,23,5,5,12,16,35,5,10,3,4,25,932,11,24,18,15,15,15,15,11,11,11,19,23,15,17,16,11,416,1470,25,25,11,15,21,15,16,21,16,1571,11,11,17,22,14,14,19,18,18,18,11,26,-1,11,0,11,25,11,29,21,21,25,1637,11,11,11,11,11,21,13,15,15,84,21,26,13,22,25,28,21,11,11,24,24,19,19,11,11,25,25,25,18,18,18
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
26,270,31,35,38,29,29,35,31,49,28,29,27,27,41,924,20,34,17,24,24,24,24,20,20,20,30,33,24,27,26,20,409,1461,32,32,20,30,28,27,31,28,30,1562,26,26,32,31,25,25,34,33,33,32,20,32,-1,20,29,20,0,20,6,9,9,10,1628,20,20,20,20,20,9,19,18,18,77,9,11,17,7,35,38,32,20,20,35,35,30,30,20,20,35,35,35,28,28,28
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
29,268,32,37,36,28,28,35,32,47,29,29,27,27,39,921,18,32,21,22,22,22,22,18,18,18,28,31,22,25,24,18,407,1459,29,29,18,32,26,25,31,26,28,1560,27,27,31,29,23,23,36,31,31,30,18,30,-1,18,27,18,8,18,0,14,14,6,1626,18,18,18,18,18,14,23,16,16,75,14,16,21,12,33,36,29,18,18,32,32,27,27,18,18,33,33,33,26,26,26
31,276,24,28,33,23,23,29,25,46,22,22,21,21,35,929,17,31,13,20,20,20,20,17,17,17,26,29,20,22,21,17,415,1467,32,32,17,24,28,23,24,28,25,1568,19,19,26,31,21,21,28,27,27,28,17,34,-1,17,22,17,7,17,13,0,0,16,1634,17,17,17,17,17,0,13,13,13,83,2,11,11,2,31,34,28,17,17,31,31,26,25,17,17,31,31,31,25,25,25
31,276,24,28,33,23,23,29,25,46,22,22,21,21,35,929,17,31,13,20,20,20,20,17,17,17,26,29,20,22,21,17,415,1467,32,32,17,24,28,23,24,28,25,1568,19,19,26,31,21,21,28,27,27,28,17,34,-1,17,22,17,7,17,13,0,0,16,1634,17,17,17,17,17,0,13,13,13,83,2,11,11,2,31,34,28,17,17,31,31,26,25,17,17,31,31,31,25,25,25
27,266,30,36,34,26,26,33,31,46,27,28,25,25,37,920,16,30,20,20,20,20,20,16,16,16,26,29,20,23,22,16,405,1458,28,28,16,31,24,23,30,24,26,1558,25,25,29,27,21,21,35,30,30,29,16,29,-1,16,26,16,13,16,8,14,14,0,1624,16,16,16,16,16,14,19,13,13,73,15,17,17,15,31,34,28,16,16,31,31,26,26,16,16,31,31,31,25,25,25
1653,1394,1668,1663,1667,1641,1641,1668,1667,1674,1642,1642,1640,1639,1669,707,1631,1645,1640,1635,1635,1635,1635,1631,1631,1631,1641,1644,1635,1637,1636,1631,1252,230,1642,1642,1631,1645,1638,1637,1644,1638,1640,226,1639,1639,1644,1666,1635,1635,1649,1644,1644,1643,1631,1664,-1,1631,1640,1631,1633,1631,1630,1638,1638,1626,0,1631,1631,1631,1631,1631,1638,1643,1636,1636,1601,1639,1632,1641,1638,1645,1649,1642,1631,1631,1645,1645,1640,1640,1631,1631,1645,1645,1645,1639,1639,1639
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
31,276,24,28,33,23,23,29,25,46,22,22,21,21,35,929,17,31,13,20,20,20,20,17,17,17,26,29,20,22,21,17,415,1467,32,32,17,24,28,23,24,28,25,1568,19,19,26,31,21,21,28,27,27,28,17,34,-1,17,22,17,7,17,13,0,0,16,1634,17,17,17,17,17,0,13,13,13,83,2,11,11,2,31,34,28,17,17,31,31,26,25,17,17,31,31,31,25,25,25
20,280,21,27,32,14,14,20,24,41,15,19,14,14,34,934,16,29,6,20,20,20,20,16,16,16,25,28,20,23,22,16,420,1472,30,30,16,23,27,21,25,27,24,1572,19,19,25,30,19,19,27,25,25,26,16,30,-1,16,14,16,17,16,24,13,13,20,1638,16,16,16,16,16,13,0,15,15,88,14,13,6,14,30,33,26,16,16,30,30,24,24,16,16,30,30,30,23,23,23
31,274,19,23,26,16,16,22,22,39,17,17,15,14,30,927,7,21,15,8,8,8,8,7,7,7,17,20,8,11,10,7,413,1465,22,22,7,18,19,13,17,19,16,1566,14,14,17,22,11,11,22,17,17,18,7,25,-1,7,15,7,16,7,18,12,12,14,1632,7,7,7,7,7,12,14,0,0,81,12,17,12,13,22,25,18,7,7,22,22,16,16,7,7,22,22,22,13,13,13
31,274,19,23,26,16,16,22,22,39,17,17,15,14,30,927,7,21,15,8,8,8,8,7,7,7,17,20,8,11,10,7,413,1465,22,22,7,18,19,13,17,19,16,1566,14,14,17,22,11,11,22,17,17,18,7,25,-1,7,15,7,16,7,18,12,12,14,1632,7,7,7,7,7,12,14,0,0,81,12,17,12,13,22,25,18,7,7,22,22,16,16,7,7,22,22,22,13,13,13
74,325,89,84,88,84,84,89,88,95,85,86,83,83,90,899,74,88,84,78,78,78,78,74,74,74,84,87,78,81,80,74,355,1437,85,85,74,89,82,81,87,82,84,1538,83,83,87,87,79,79,93,87,87,86,74,85,-1,74,84,74,78,74,74,82,82,70,1604,74,74,74,74,74,82,87,81,81,0,83,77,85,83,89,92,86,74,74,88,88,84,84,74,74,89,89,89,82,82,82
32,277,25,29,33,23,23,29,26,47,22,23,22,21,36,931,18,31,12,20,20,20,20,18,18,18,27,30,20,23,22,18,416,1469,32,32,18,24,29,23,25,29,26,1570,20,20,27,32,21,21,28,27,27,28,18,35,-1,18,23,18,8,18,14,2,2,17,1636,18,18,18,18,18,2,14,15,15,84,0,10,12,2,32,35,28,18,18,32,32,26,26,18,18,32,32,32,25,25,25
21,271,29,33,37,27,27,33,29,50,26,26,25,25,39,924,21,35,10,24,24,24,24,21,21,21,30,34,24,27,26,21,410,1462,32,32,21,28,29,27,29,29,29,1563,24,24,30,35,25,25,32,31,31,32,21,33,-1,21,27,21,9,21,15,11,11,13,1629,21,21,21,21,21,11,15,18,18,78,10,0,15,11,36,39,32,21,21,35,35,30,30,21,21,36,36,36,29,29,29
23,279,22,28,32,14,14,21,25,41,15,19,15,14,34,933,17,30,7,20,20,20,20,17,17,17,26,29,20,23,22,17,418,1471,31,31,17,24,28,23,24,28,25,1572,19,19,26,31,21,21,28,26,26,27,17,31,-1,17,14,17,16,17,23,12,12,19,1637,17,17,17,17,17,12,5,14,14,86,13,15,0,14,31,34,27,17,17,31,31,25,25,17,17,31,31,31,25,25,25
32,276,26,30,34,24,24,30,26,47,23,24,22,22,36,930,19,32,13,21,21,21,21,19,19,19,27,31,21,24,23,19,415,1468,33,33,19,25,29,24,26,29,26,1568,21,21,28,32,22,22,29,28,28,29,19,35,-1,19,24,19,6,19,12,2,2,16,1634,19,19,19,19,19,2,14,14,14,83,2,11,12,0,33,36,29,19,19,32,32,27,27,19,19,33,33,33,26,26,26
45,282,31,37,33,28,28,34,32,46,29,29,27,26,36,936,18,30,35,15,15,15,15,18,18,18,28,16,15,16,15,18,421,1474,31,31,18,32,28,25,31,28,27,1575,26,26,31,31,22,22,36,31,31,28,18,32,-1,18,27,18,36,18,33,32,32,29,1641,18,18,18,18,18,32,31,24,24,89,32,35,31,33,0,21,28,18,18,1,1,27,27,18,18,2,2,2,10,10,10
44,281,30,34,35,26,26,33,31,45,28,28,26,25,38,935,16,23,34,20,20,20,20,16,16,16,27,3,20,23,22,16,419,1473,26,26,16,31,25,23,30,25,26,1573,25,25,29,28,21,21,35,30,30,28,16,29,-1,16,26,16,34,16,31,30,30,28,1639,16,16,16,16,16,30,29,23,23,87,31,34,30,32,15,0,27,16,16,15,15,26,26,16,16,15,15,15,18,18,18
41,281,23,18,17,24,24,25,21,30,21,21,23,22,20,935,14,12,31,16,16,16,16,14,14,14,2,25,16,19,18,14,419,1473,25,25,14,18,19,12,16,19,9,1573,17,17,16,17,12,12,22,17,17,9,14,16,-1,14,23,14,31,14,31,28,28,28,1639,14,14,14,14,14,28,26,20,20,88,28,32,27,29,27,30,0,14,14,27,27,3,3,14,14,27,27,27,21,21,21
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
45,282,32,37,33,28,28,35,32,46,29,29,27,27,37,936,18,30,35,17,17,17,17,18,18,18,28,16,17,17,17,18,421,1474,31,31,18,32,28,25,31,28,28,1575,27,27,31,31,23,23,36,31,31,28,18,32,-1,18,27,18,36,18,33,32,32,29,1641,18,18,18,18,18,32,31,24,24,89,32,35,31,33,2,21,28,18,18,0,0,27,27,18,18,2,2,2,13,13,13
45,282,32,37,33,28,28,35,32,46,29,29,27,27,37,936,18,30,35,17,17,17,17,18,18,18,28,16,17,17,17,18,421,1474,31,31,18,32,28,25,31,28,28,1575,27,27,31,31,23,23,36,31,31,28,18,32,-1,18,27,18,36,18,33,32,32,29,1641,18,18,18,18,18,32,31,24,24,89,32,35,31,33,2,21,28,18,18,0,0,27,27,18,18,2,2,2,13,13,13
39,279,23,18,18,22,22,26,22,30,20,21,21,21,21,933,12,13,29,15,15,15,15,12,12,12,1,24,15,17,16,12,418,1471,26,26,12,19,20,12,17,20,9,1572,17,17,17,18,10,10,22,17,17,10,12,16,-1,12,21,12,30,12,30,26,26,26,1638,12,12,12,12,12,26,25,18,18,86,26,30,25,27,25,29,3,12,12,25,25,0,1,12,12,26,26,26,19,19,19
39,279,23,18,18,22,22,26,22,30,20,20,21,20,21,933,12,12,29,15,15,15,15,12,12,12,2,23,15,17,16,12,418,1471,25,25,12,19,20,12,17,20,9,1572,17,17,17,18,10,10,22,17,17,10,12,16,-1,12,21,12,30,12,30,26,26,26,1638,12,12,12,12,12,26,25,18,18,86,26,30,25,27,25,29,3,12,12,25,25,1,0,12,12,25,25,25,19,19,19
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
28,273,14,18,22,10,10,17,14,36,11,12,9,9,24,927,0,18,17,9,9,9,9,0,0,0,14,17,9,12,11,0,411,1465,19,19,0,13,16,10,14,16,13,1565,9,9,14,19,8,8,17,14,14,15,0,22,-1,0,10,0,18,0,22,14,14,18,1631,0,0,0,0,0,14,13,8,8,79,14,19,13,15,19,22,15,0,0,19,19,13,13,0,0,19,19,19,13,13,13
44,281,30,36,32,27,27,33,31,45,28,28,26,25,35,935,17,28,34,21,21,21,21,17,17,17,27,14,21,22,22,17,420,1473,30,30,17,31,27,23,30,27,26,1574,25,25,30,30,21,21,35,30,30,27,17,31,-1,17,26,17,35,17,32,31,31,28,1639,17,17,17,17,17,31,30,23,23,88,31,34,30,32,11,20,27,17,17,11,11,26,26,17,17,0,0,0,15,15,15
44,281,30,36,32,27,27,33,31,45,28,28,26,25,35,935,17,28,34,21,21,21,21,17,17,17,27,14,21,22,22,17,420,1473,30,30,17,31,27,23,30,27,26,1574,25,25,30,30,21,21,35,30,30,27,17,31,-1,17,26,17,35,17,32,31,31,28,1639,17,17,17,17,17,31,30,23,23,88,31,34,30,32,11,20,27,17,17,11,11,26,26,17,17,0,0,0,15,15,15
44,281,30,36,32,27,27,33,31,45,28,28,26,25,35,935,17,28,34,21,21,21,21,17,17,17,27,14,21,22,22,17,420,1473,30,30,17,31,27,23,30,27,26,1574,25,25,30,30,21,21,35,30,30,27,17,31,-1,17,26,17,35,17,32,31,31,28,1639,17,17,17,17,17,31,30,23,23,88,31,34,30,32,11,20,27,17,17,11,11,26,26,17,17,0,0,0,15,15,15
36,273,22,28,27,19,19,25,23,40,20,20,18,17,30,927,9,23,26,7,7,7,7,9,9,9,19,17,7,8,8,9,412,1465,22,22,9,23,19,16,22,19,18,1566,17,17,22,22,13,13,27,22,22,21,9,23,-1,9,18,9,27,9,24,23,23,20,1632,9,9,9,9,9,23,22,15,15,80,23,26,22,24,9,23,20,9,9,12,12,18,18,9,9,12,12,12,0,0,0
36,273,22,28,27,19,19,25,23,40,20,20,18,17,30,927,9,23,26,7,7,7,7,9,9,9,19,17,7,8,8,9,412,1465,22,22,9,23,19,16,22,19,18,1566,17,17,22,22,13,13,27,22,22,21,9,23,-1,9,18,9,27,9,24,23,23,20,1632,9,9,9,9,9,23,22,15,15,80,23,26,22,24,9,23,20,9,9,12,12,18,18,9,9,12,12,12,0,0,0
36,273,22,28,27,19,19,25,23,40,20,20,18,17,30,927,9,23,26,7,7,7,7,9,9,9,19,17,7,8,8,9,412,1465,22,22,9,23,19,16,22,19,18,1566,17,17,22,22,13,13,27,22,22,21,9,23,-1,9,18,9,27,9,24,23,23,20,1632,9,9,9,9,9,23,22,15,15,80,23,26,22,24,9,23,20,9,9,12,12,18,18,9,9,12,12,12,0,0,0
